ID	sentence	source	edge	target	distance	category	comments
cg21.mrg-ofr-4-5		(r / regard-01)	:ARG1	(t / thing)	4	object free relative	
ck04.mrg-ofr-1-6		(t / think-01)	:ARG1	(t / thing)	4	object free relative	
cf03.mrg-or0-2-0		(o / observe-01)	:ARG1	(t / thing)	5	object relative with null complementizer	
cf22.mrg-or0-1-1		(h / have-03)	:ARG1	(i / influence-01)	4	object relative with null complementizer	
cf22.mrg-or0-2-2		(r / ride-01)	:ARG1	(s2 / steed)	4	object relative with null complementizer	
cf22.mrg-or0-2-3		(w / wield-01)	:ARG1	(w2 / weapon)	4	object relative with null complementizer	
cf22.mrg-or0-4 -4		(d / disassemble-01)	:ARG1	(w / weapon)	4	object relative with null complementizer	"No 1:1 frame for ""take apart"" - chose ""disassemble-01"""
cf22.mrg-or0-4 -5		(d / reassemble-01)	:ARG1	(w / weapon)	7	object relative with null complementizer	
cg21.mrg-or0-1-6		(m / make-01)	:ARG1	(c / conclusion)	3	object relative with null complementizer	
cg22.mrg-or0-1-7		(l / live-01)	:ARG1	(l2 / life)	4	object relative with null complementizer	
ck10.mrg-or0-2 -8		(w / win-01)	:ARG5	(l / liberty)	7	object relative with null complementizer	
ck01.mrg-or0-1-9		(p / possess-01)	:ARG1	(e / energy)	4	object relative with null complementizer	
xx00.mrg-oq-2-0		(s / stand-08)	:ARG1	(a / amr-unkown)	5	object wh-question	
xx00.mrg-oq-5-1		(m / mean-01)	:ARG1	(a / amr-unkown)	5	object wh-question	
xx00.mrg-oq-6-2		(c / call-01)	:ARG1	(a / amr-unkown)	7	object wh-question	
xx00.mrg-oq-7-3		(b / buy-01)	:ARG1	(a / amr-unkown)	4	object wh-question	
xx00.mrg-oq-11-4		(t / take-01)	:ARG1	"(s / small-molecule :name (n / name :op1 ""vitamin"" :op2 ""C"")) "	3	object wh-question	
xx00.mrg-oq-12-5		(i / invent-01)	:ARG1	(a / amr-unkown)	7	object wh-question	
xx00.mrg-oq-17-6		(l / live-01) 	:ARG1	(s / state)	4	object wh-question	
xx00.mrg-oq-19-7		(f / finance-01)	:ARG1	(c / country)	4	object wh-question	
cf21.mrg-rnr-1-0		(b / bring-01)	:ARG1	(n / number)	9	right node raising	
cf21.mrg-rnr-1-1		(b / batter-01)	:ARG1	(n / number)	4	right node raising	
cf21.mrg-rnr-2-2		(r / rate-01)	:ARG1	(t / tsunami)	12	right node raising	
cf21.mrg-rnr-2-3		(t / tsunami)	:time	(a / arrive-01)	7	right node raising	
cf23.mrg-rnr-2-4		(b / become-01)	:ARG2	(p / power)	12	right node raising	
cf23.mrg-rnr-2-5		(b / become-01)	:ARG2	(p / power)	5	right node raising	
cf07.mrg-rnr-1-6		(g / good-02)	:ARG1	(m / memory)	5	right node raising	
cf07.mrg-rnr-1-7		(b / bad-07)	:ARG1	(m / memory)	1	right node raising	
cf23.mrg-se-1-0		(e / exist-01)	:ARG1	(r / revolution)	8	subject relative, embedded	
cf10.mrg-se-1-1		(c / care-03)	:ARG1	(c2 / capsule)	5	subject relative, embedded	
cf30.mrg-se-1-2		(s / stun-01)	:ARG0	(i / idea)	10	subject relative, embedded	"No 1:1 frame for breathtaking - chose ""stun-01"""
cg10.mrg-se-1-3		(e / essential-01)	:ARG1	(b / balance)	3	subject relative, embedded	
ck03.mrg-se-1-4		(b / bad-07)	:ARG1	(p / piece)	7	subject relative, embedded	
ck27.mrg-se-1-5		(g / get-05)	:ARG1 	(o / one)	2	subject relative, embedded	
cn04.mrg-se-2-6		(s / sit-01)	:ARG1	(b / boy)	5	subject relative, embedded	
wsj_0060.mrg-sr-3-0		(r / run-09)	:ARG1	(c / comedy)	4	subject relative	
wsj_0062.mrg-sr-3-1		(s / spend-01)	:ARG0	(f / firm)	3	subject relative	
wsj_0062.mrg-sr-3-2		(r / rely-01)	:ARG0	(f / firm)	10	subject relative	
wsj_0062.mrg-sr-4-3		(s / service-05)	:ARG1	(a / account)	5	subject relative	
wsj_0064.mrg-sr-1-4		(r / require-01)	:ARG1	(h / headrest)	5	subject relative	
